               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.032496,            0.037826,           0.0070039,             0.88498,             0.81485,             0.85459,             0.44509,             0.03214,            0.095264,           0.0092804,            0.005677,            0.005677,            0.005677
                 133,            0.034014,            0.037386,           0.0085639,             0.85043,             0.80066,             0.82799,             0.44406,            0.032202,            0.094937,            0.011505,            0.005644,            0.005644,            0.005644
                 134,            0.032763,            0.037363,           0.0072969,             0.85908,             0.76997,             0.82763,             0.44912,            0.031766,            0.094997,            0.013743,            0.005611,            0.005611,            0.005611
                 135,            0.033749,             0.03838,           0.0088748,             0.88926,             0.77801,             0.83922,             0.43693,            0.033116,              0.0955,            0.013796,            0.005578,            0.005578,            0.005578
                 136,            0.032565,            0.037936,           0.0078138,             0.88368,             0.78776,             0.83882,             0.44294,             0.03194,            0.094947,            0.014408,            0.005545,            0.005545,            0.005545
                 137,            0.033976,            0.038642,           0.0092385,              0.8148,             0.74761,             0.78823,             0.42105,            0.032443,            0.095811,            0.015631,            0.005512,            0.005512,            0.005512
                 138,            0.032142,             0.03745,           0.0077042,             0.84428,             0.76288,             0.81718,             0.43176,            0.031231,            0.095327,            0.015276,            0.005479,            0.005479,            0.005479
                 139,             0.03258,            0.038223,           0.0086148,             0.86811,             0.79862,              0.8502,             0.43635,            0.032355,            0.095594,             0.01278,            0.005446,            0.005446,            0.005446
                 140,            0.032609,            0.037421,           0.0081744,             0.89094,              0.7961,             0.86117,             0.46504,            0.031144,            0.095042,            0.012581,            0.005413,            0.005413,            0.005413
                 141,            0.032355,            0.037617,           0.0091384,             0.80923,             0.75798,              0.8197,             0.43013,            0.032326,            0.096514,            0.013828,             0.00538,             0.00538,             0.00538
                 142,            0.033358,            0.037885,           0.0077331,             0.78286,             0.72414,             0.77851,             0.42193,             0.03168,            0.095975,            0.015845,            0.005347,            0.005347,            0.005347
                 143,            0.032654,            0.038188,           0.0074588,             0.83414,             0.74765,              0.7954,             0.41808,            0.032081,            0.097652,            0.016473,            0.005314,            0.005314,            0.005314
                 144,            0.031892,            0.037888,           0.0073518,             0.88433,             0.78373,             0.83709,             0.44748,            0.031674,            0.095802,             0.01346,            0.005281,            0.005281,            0.005281
                 145,            0.032522,            0.037782,           0.0081064,             0.91294,             0.81379,             0.85077,             0.45095,            0.032016,            0.096331,            0.010436,            0.005248,            0.005248,            0.005248
                 146,            0.031877,            0.038023,           0.0072831,             0.89905,             0.80368,             0.85468,             0.45932,            0.031236,            0.095156,           0.0096063,            0.005215,            0.005215,            0.005215
                 147,            0.032231,            0.037832,           0.0075491,              0.8672,             0.77077,             0.83404,             0.45763,            0.031671,            0.095364,            0.010917,            0.005182,            0.005182,            0.005182
                 148,            0.031442,            0.037603,           0.0073948,             0.87348,             0.76682,             0.85504,              0.4676,            0.031198,            0.095966,            0.012781,            0.005149,            0.005149,            0.005149
                 149,            0.031952,             0.03768,           0.0072858,             0.87798,             0.79537,              0.8778,             0.46457,             0.03111,            0.095851,            0.015249,            0.005116,            0.005116,            0.005116
                 150,            0.031581,            0.037093,            0.007333,             0.90652,              0.8178,             0.87528,             0.47799,            0.030664,            0.094184,            0.011192,            0.005083,            0.005083,            0.005083
                 151,            0.032357,            0.038503,           0.0072284,             0.89661,              0.8136,             0.85582,             0.44563,            0.031496,            0.095297,            0.010558,             0.00505,             0.00505,             0.00505
                 152,            0.031698,            0.037405,           0.0068052,             0.90427,             0.79831,             0.85765,             0.44836,            0.030806,            0.095777,            0.014377,            0.005017,            0.005017,            0.005017
                 153,            0.032246,            0.037422,           0.0067917,             0.88158,             0.77342,             0.83067,             0.42866,             0.03123,            0.094326,            0.014384,            0.004984,            0.004984,            0.004984
                 154,            0.031261,            0.037546,            0.006556,             0.86952,             0.75773,             0.81033,             0.43816,            0.030711,            0.094083,            0.015543,            0.004951,            0.004951,            0.004951
                 155,              0.0319,            0.037532,           0.0069329,             0.87806,             0.72899,             0.80598,             0.44002,            0.030939,            0.094661,            0.014877,            0.004918,            0.004918,            0.004918
                 156,            0.031168,            0.036869,           0.0066315,             0.88338,             0.75662,             0.82752,             0.45066,            0.030549,            0.094511,            0.013692,            0.004885,            0.004885,            0.004885
                 157,            0.031574,            0.037324,           0.0064876,             0.92796,             0.78734,             0.85508,             0.46775,            0.031486,            0.094391,           0.0099966,            0.004852,            0.004852,            0.004852
                 158,            0.031747,            0.037317,           0.0065205,             0.90418,             0.79069,             0.85438,              0.4497,            0.030916,            0.094212,           0.0093404,            0.004819,            0.004819,            0.004819
                 159,             0.03138,            0.037068,           0.0063923,             0.88353,             0.77061,              0.8636,             0.47331,            0.030229,            0.092553,            0.011642,            0.004786,            0.004786,            0.004786
                 160,            0.030755,            0.036145,            0.006509,             0.87911,             0.78899,               0.877,             0.47342,            0.030694,            0.093532,            0.011898,            0.004753,            0.004753,            0.004753
                 161,            0.032083,            0.036839,           0.0066274,             0.82539,              0.7682,             0.85065,             0.45572,            0.031483,             0.09449,            0.012517,             0.00472,             0.00472,             0.00472
                 162,            0.031609,             0.03637,           0.0063582,             0.82563,             0.76626,             0.84074,             0.44731,            0.030993,            0.094488,            0.011968,            0.004687,            0.004687,            0.004687
                 163,            0.033033,            0.037535,           0.0066226,             0.89948,             0.83852,             0.89646,             0.47078,            0.031246,            0.094368,            0.010472,            0.004654,            0.004654,            0.004654
